t cv_0(t) h(t)
1.312000000000000000e+06 1.319416766920358919e+00 3.099145311304119660e-02
1.313000000000000000e+06 1.282129964868278016e+00 2.900780969207528148e-02
1.314000000000000000e+06 1.461437660567100894e+00 4.922603187263120683e-02
1.315000000000000000e+06 1.461918342303952345e+00 4.870196509671756435e-02
1.316000000000000000e+06 1.500630108407483787e+00 5.807727343551763455e-02
1.317000000000000000e+06 1.466155504378166219e+00 4.837387569206461763e-02
1.318000000000000000e+06 1.468959646174750500e+00 4.839493884754267339e-02
1.319000000000000000e+06 1.481653402423948274e+00 5.080039381482512328e-02
1.320000000000000000e+06 1.497758065834297048e+00 5.434939291242733145e-02
1.321000000000000000e+06 1.483492683919107824e+00 4.987573414726053506e-02
1.322000000000000000e+06 1.483492683919107824e+00 4.922538283043864649e-02
1.323000000000000000e+06 1.502867806822586028e+00 5.362354527177837227e-02
1.324000000000000000e+06 1.502867806822586028e+00 5.287215288653593359e-02
1.325000000000000000e+06 1.486739939876047689e+00 4.804156022788428487e-02
1.326000000000000000e+06 1.486739939876047689e+00 4.743801723105256496e-02
1.327000000000000000e+06 1.520777701244867108e+00 5.604173880612374481e-02
1.328000000000000000e+06 1.520777701244867108e+00 5.522130963681455562e-02
1.329000000000000000e+06 1.520777701244867108e+00 5.442464037293174434e-02
1.330000000000000000e+06 1.504445662444048759e+00 4.915575943824504468e-02
1.331000000000000000e+06 1.389070837649936774e+00 3.306335152570759328e-02
1.332000000000000000e+06 8.886268755846553624e-01 2.467540063055824462e-02
1.333000000000000000e+06 1.172720710569708391e+00 2.563476601697824153e-02
1.334000000000000000e+06 8.399968732081889433e-01 2.493090600191853745e-02
1.335000000000000000e+06 4.115889993414243997e-01 3.358955256681211282e-02
1.336000000000000000e+06 9.095451584725001704e-01 2.424011567516701562e-02
1.337000000000000000e+06 7.121659444255038496e-01 2.655483436745183223e-02
1.338000000000000000e+06 1.040475391862742738e+00 2.412785967276991420e-02
1.339000000000000000e+06 1.159669474998995309e+00 2.512655407024561027e-02
1.340000000000000000e+06 9.045171213214658890e-01 2.407054743795693230e-02
1.341000000000000000e+06 4.765928820782065478e-01 3.184915772057151512e-02
1.342000000000000000e+06 -3.257638610695308690e-01 3.699241184299838919e-02
1.343000000000000000e+06 -1.134763642512345516e+00 2.524089403206496163e-02
1.344000000000000000e+06 -7.921226034378774372e-01 2.673883816698487473e-02
1.345000000000000000e+06 -8.558315085533630961e-01 2.568092766792749726e-02
1.346000000000000000e+06 -8.029061876267219455e-01 2.625393749323297679e-02
1.347000000000000000e+06 -1.110973026422704235e+00 2.487608509108271346e-02
1.348000000000000000e+06 -1.020722644472318308e+00 2.434964927904557583e-02
1.349000000000000000e+06 -7.695096363846800624e-01 2.660163920262910431e-02
1.350000000000000000e+06 -7.166663879631324230e-01 2.727593172163745444e-02
1.351000000000000000e+06 -8.649073335113901528e-01 2.512195287717888456e-02
1.352000000000000000e+06 -3.537273991279530350e-01 3.588078618843077577e-02
1.353000000000000000e+06 -1.752987910320705500e-01 3.811689992326788845e-02
1.354000000000000000e+06 5.212898468318213352e-01 3.061578362352948557e-02
1.355000000000000000e+06 1.174422247729004276e+00 2.529526282838946705e-02
1.356000000000000000e+06 8.141914413095349135e-01 2.473329454422737439e-02
1.357000000000000000e+06 1.062016490732797802e+00 2.387226209091190821e-02
1.358000000000000000e+06 1.261392088918527943e+00 2.757816816324384912e-02
1.359000000000000000e+06 1.179328541024971866e+00 2.508507715601017776e-02
1.360000000000000000e+06 1.184191488361834077e+00 2.503929280521735579e-02
1.361000000000000000e+06 1.056188691831012161e+00 2.361731792443096459e-02
1.362000000000000000e+06 -5.663621900388714908e-02 3.946852634638055995e-02
1.363000000000000000e+06 -3.563974246575457583e-01 3.544095079013888372e-02
1.364000000000000000e+06 2.532018128160460346e-01 3.724480148117689793e-02
1.365000000000000000e+06 -5.855497217193917914e-01 3.011055949611615712e-02
1.366000000000000000e+06 -8.685105174485152624e-01 2.492318198533913579e-02
1.367000000000000000e+06 -1.366195831202307920e+00 3.426224049397514487e-02
1.368000000000000000e+06 -1.132521950973862213e+00 2.482988567563418347e-02
1.369000000000000000e+06 -1.195490125178246821e+00 2.577469337677797470e-02
1.370000000000000000e+06 -4.910474605391208502e-01 3.224667305713832532e-02
1.371000000000000000e+06 -2.502664298556414590e-01 3.724255221687029077e-02
1.372000000000000000e+06 2.839214953667992813e-01 3.620677361305349451e-02
1.373000000000000000e+06 -4.802264164820269632e-01 3.218457853013011877e-02
1.374000000000000000e+06 -3.712654276408493548e-01 3.439158866438173784e-02
1.375000000000000000e+06 -3.274569078577697634e-01 3.530607492562443800e-02
1.376000000000000000e+06 -7.253188294563696070e-01 2.681475844575345255e-02
1.377000000000000000e+06 -6.144511921788698983e-01 2.887119092327290748e-02
1.378000000000000000e+06 5.457043561698732281e-01 2.985654583989220956e-02
1.379000000000000000e+06 1.050989849948763766e+00 2.347582251754822338e-02
1.380000000000000000e+06 1.099709266198881874e+00 2.341237469787655831e-02
1.381000000000000000e+06 7.415483402174631866e-01 2.559574221281210593e-02
1.382000000000000000e+06 3.616081514258980834e-01 3.404562048864828022e-02
1.383000000000000000e+06 7.300857452561526628e-01 2.566538412236048575e-02
1.384000000000000000e+06 1.019600851199643360e-01 3.897255330551225444e-02
1.385000000000000000e+06 -3.331614317997106389e-01 3.482531911890516391e-02
1.386000000000000000e+06 -8.495830748858225201e-01 2.488885580083744983e-02
1.387000000000000000e+06 -1.344455313738333269e+00 3.255116694716622683e-02
1.388000000000000000e+06 -1.085777717165808287e+00 2.423905540759031113e-02
1.389000000000000000e+06 -9.813435313880083388e-01 2.398491948531437934e-02
1.390000000000000000e+06 -8.124145128672379812e-01 2.513331812252058914e-02
1.391000000000000000e+06 -7.783860876496953018e-01 2.549189993875995708e-02
1.392000000000000000e+06 -3.435280429443303141e-01 3.423072382871710645e-02
1.393000000000000000e+06 -1.208169968464186228e+00 2.584676167103235403e-02
1.394000000000000000e+06 -1.312883926947593594e+00 3.035283855349938525e-02
1.395000000000000000e+06 -9.689189409043281742e-01 2.383596294182229944e-02
1.396000000000000000e+06 -5.672315457716282650e-01 2.982053594990874065e-02
1.397000000000000000e+06 -5.942204670395183630e-01 2.891893982425138010e-02
1.398000000000000000e+06 -1.084858167731702405e+00 2.390909347605479213e-02
1.399000000000000000e+06 -4.020232270207574898e-01 3.261172918554048478e-02
1.400000000000000000e+06 -5.932032410854623516e-02 3.894551465084413605e-02
1.401000000000000000e+06 2.073827385597629414e-01 3.730522724814227392e-02
1.402000000000000000e+06 4.724999198952706814e-01 3.116360420029341827e-02
1.403000000000000000e+06 -1.442292578359652133e-01 3.739383849367069329e-02
1.404000000000000000e+06 -5.482044631660551448e-02 3.840228946983396952e-02
1.405000000000000000e+06 -4.317250200136020510e-02 3.819187344814934520e-02
1.406000000000000000e+06 -1.563897545675112244e-01 3.658827836718394483e-02
1.407000000000000000e+06 -4.095898482600962565e-01 3.220085346672882376e-02
1.408000000000000000e+06 -1.046483174057291077e+00 2.360902304088953810e-02
1.409000000000000000e+06 -1.154294190729755476e+00 2.432261715683631600e-02
1.410000000000000000e+06 -9.857042699028625288e-01 2.345996173611303998e-02
1.411000000000000000e+06 -1.239647877070629622e+00 2.649033226120476453e-02
1.412000000000000000e+06 -5.794580061796741344e-01 2.901924106162263872e-02
1.413000000000000000e+06 -1.036686782306727395e+00 2.326591370650282764e-02
1.414000000000000000e+06 -8.631365305329036230e-01 2.418769044551092456e-02
1.415000000000000000e+06 -4.933565401406506123e-01 3.067847769236948380e-02
1.416000000000000000e+06 2.494412908616105151e-01 3.613166232571480424e-02
1.417000000000000000e+06 1.849728274150614360e-01 3.703594579643481460e-02
1.418000000000000000e+06 9.256681578362607743e-02 3.806547578163550077e-02
1.419000000000000000e+06 4.184468412434531048e-01 3.213543805625713318e-02
1.420000000000000000e+06 9.418390125587832173e-01 2.351302950572796424e-02
1.421000000000000000e+06 2.203189142244599830e-01 3.594394403965451429e-02
1.422000000000000000e+06 5.343166454166923263e-01 2.954579320869951675e-02
1.423000000000000000e+06 1.029625157320928741e+00 2.318515158858101832e-02
1.424000000000000000e+06 3.921276182536084232e-01 3.240419874960197288e-02
1.425000000000000000e+06 -2.727720425695689399e-01 3.535745825232166489e-02
1.426000000000000000e+06 3.176702167798857723e-01 3.383771075422382923e-02
1.427000000000000000e+06 1.277373475215550558e+00 2.767173113226750747e-02
1.428000000000000000e+06 8.465411481827086471e-01 2.405950171781065169e-02
1.429000000000000000e+06 1.105066686829293543e+00 2.317609982048614292e-02
1.430000000000000000e+06 1.309889387890989632e+00 2.866748188448178802e-02
1.431000000000000000e+06 1.092584448825835830e+00 2.295010457871667076e-02
1.432000000000000000e+06 1.290799090928814286e+00 2.772451668655255899e-02
1.433000000000000000e+06 7.265965505093340271e-01 2.550053435046300068e-02
1.434000000000000000e+06 6.383630408087158647e-01 2.749094861447744231e-02
1.435000000000000000e+06 5.008164796454216416e-01 2.975933757466922222e-02
1.436000000000000000e+06 4.844596020119376067e-01 2.983449367361229107e-02
1.437000000000000000e+06 9.713370732238231220e-01 2.304850494213724066e-02
1.438000000000000000e+06 1.284350652402351356e+00 2.729546446334355642e-02
1.439000000000000000e+06 1.125082175645696791e+00 2.304297877844347850e-02
1.440000000000000000e+06 4.027809238829043736e-01 3.144676483640670289e-02
1.441000000000000000e+06 5.220851512636134339e-01 2.886945624257466689e-02
1.442000000000000000e+06 1.066493246480736401e+00 2.257765936040123655e-02
1.443000000000000000e+06 1.026029732409029727e+00 2.255951789705763766e-02
1.444000000000000000e+06 3.089499396172857848e-01 3.352641691358977660e-02
1.445000000000000000e+06 5.525724494456503155e-01 2.825835403048559610e-02
1.446000000000000000e+06 8.764840615613905817e-01 2.351525070257274447e-02
1.447000000000000000e+06 9.674528287881869471e-01 2.266336344525900562e-02
1.448000000000000000e+06 8.891445070556623920e-01 2.316137384389106019e-02
1.449000000000000000e+06 3.497032879191939725e-01 3.226190216053851506e-02
1.450000000000000000e+06 5.291265963263844796e-01 2.832648012286325886e-02
1.451000000000000000e+06 -6.461624762285764212e-02 3.724328188132063761e-02
1.452000000000000000e+06 -1.800321332282596443e-01 3.583604748474422674e-02
1.453000000000000000e+06 2.026324515334259058e-01 3.555710729153806204e-02
1.454000000000000000e+06 -4.158682222867020051e-01 3.157780068462809342e-02
1.455000000000000000e+06 -9.223157534845807248e-01 2.354642740576487134e-02
1.456000000000000000e+06 -7.186865036707094090e-01 2.619493155843221829e-02
1.457000000000000000e+06 -8.277703233725629550e-01 2.428132708263544895e-02
1.458000000000000000e+06 -1.093726488395027507e+00 2.335237722946249123e-02
1.459000000000000000e+06 -8.058906350419434705e-01 2.443406855065981612e-02
1.460000000000000000e+06 -5.209364307312861486e-01 2.980547281798722956e-02
1.461000000000000000e+06 -1.159798185247052249e+00 2.398701994086656006e-02
1.462000000000000000e+06 -8.877579112265472361e-01 2.345944713851555452e-02
1.463000000000000000e+06 -1.356001124716469386e+00 3.262233004779386408e-02
1.464000000000000000e+06 -1.252303966577867245e+00 2.661949221177476593e-02
1.465000000000000000e+06 -1.315692617106779094e+00 2.969515396226540468e-02
1.466000000000000000e+06 -1.210108800813890717e+00 2.480147616494281226e-02
1.467000000000000000e+06 -1.274513291235602530e+00 2.714622063702189225e-02
1.468000000000000000e+06 -1.131692317860633956e+00 2.323372142299066218e-02
1.469000000000000000e+06 -1.374931223030399385e+00 3.324923183526330012e-02
1.470000000000000000e+06 -1.054339003987277534e+00 2.279405310354606917e-02
1.471000000000000000e+06 -7.137450428615066400e-01 2.592139250980399212e-02
1.472000000000000000e+06 -9.728195151417363684e-01 2.280575210246606893e-02
1.473000000000000000e+06 -5.802755984249874377e-01 2.835428607270045961e-02
1.474000000000000000e+06 -2.445126243616358164e-01 3.518178802277199813e-02
1.475000000000000000e+06 -1.520721524283259463e-01 3.546734041700613099e-02
1.476000000000000000e+06 -2.549763801760581566e-02 3.732195636135730854e-02
1.477000000000000000e+06 2.421419293840364195e-01 3.433739105100235001e-02
1.478000000000000000e+06 6.475925653822713901e-01 2.679701816926112479e-02
1.479000000000000000e+06 -1.169819892869859712e-01 3.538410852351919073e-02
1.480000000000000000e+06 -1.211756491575872868e-01 3.500562638300804691e-02
1.481000000000000000e+06 5.677830672700288073e-01 2.757058057782978480e-02
1.482000000000000000e+06 1.220369264434054024e+00 2.506490769944136332e-02
1.483000000000000000e+06 7.319272336885598307e-01 2.490510998500210932e-02
1.484000000000000000e+06 5.020495287232445980e-02 3.751958051662704352e-02
1.485000000000000000e+06 7.160507584393175362e-01 2.505512239258794391e-02
1.486000000000000000e+06 7.832056785557847123e-01 2.387979180372733212e-02
1.487000000000000000e+06 9.911800784540548692e-01 2.235241021654486154e-02
1.488000000000000000e+06 1.050534441512751327e+00 2.212004790997324638e-02
