t cv_0(t) h(t)
1.220000100000000000e+07 1.291962116956710815e-01 7.540165992107390469e-01
1.225000100000000000e+07 1.456029266119003296e-01 9.123357732150183530e-01
1.230000100000000000e+07 1.577047109603881836e-01 9.534847427396930808e-01
1.235000100000000000e+07 1.563288420438766479e-01 8.990155718012008412e-01
1.240000100000000000e+07 1.507914960384368896e-01 8.362853798661217253e-01
1.245000100000000000e+07 1.706448048353195190e-01 9.524145581371792346e-01
1.250000100000000000e+07 1.728897094726562500e-01 9.206146206529886022e-01
1.255000100000000000e+07 1.795428842306137085e-01 9.218499177647615506e-01
1.260000100000000000e+07 1.579673588275909424e-01 8.025615983867916414e-01
1.265000100000000000e+07 1.384893506765365601e-01 7.806259650596355515e-01
1.270000100000000000e+07 1.348070055246353149e-01 7.343265547367171520e-01
1.275000100000000000e+07 1.511833518743515015e-01 7.433380321247731182e-01
1.280000100000000000e+07 1.884628981351852417e-01 9.432223739741820712e-01
1.285000100000000000e+07 2.235173732042312900e-01 9.998902222168776222e-01
1.290000100000000000e+07 2.084229439496994019e-01 9.758036102193520245e-01
1.295000100000000000e+07 2.372414022684096735e-01 9.788966585920575447e-01
1.300000100000000000e+07 2.608422935009002130e-01 9.967751908593718291e-01
1.305000100000000000e+07 2.876716554164886475e-01 9.985660921971551973e-01
1.310000100000000000e+07 3.223953545093536377e-01 9.998734168493660368e-01
1.315000100000000000e+07 3.315647244453430176e-01 9.660235087281715538e-01
1.320000100000000000e+07 3.101843595504760742e-01 9.662715111142962110e-01
1.325000100000000000e+07 3.227288424968719482e-01 8.955886466714838567e-01
1.330000100000000000e+07 3.475717604160308838e-01 9.816375770447786087e-01
1.335000100000000000e+07 3.789626061916351318e-01 9.996248774852896091e-01
1.340000100000000000e+07 3.612228333950041614e-01 9.685662242750824324e-01
1.345000100000000000e+07 3.621538877487183172e-01 9.213439660729622060e-01
1.350000100000000000e+07 3.716070950031281073e-01 9.014189828129811621e-01
1.355000100000000000e+07 3.397078812122344971e-01 8.983100283971749977e-01
1.360000100000000000e+07 3.531252443790435791e-01 8.616816849879554985e-01
1.365000100000000000e+07 3.630934357643127997e-01 8.245958945084206348e-01
1.370000100000000000e+07 3.795773684978484552e-01 8.869350897195710237e-01
1.375000100000000000e+07 3.686292469501495361e-01 7.888241070814407951e-01
1.380000100000000000e+07 3.858285844326019287e-01 8.908191443901214424e-01
1.385000100000000000e+07 3.856850266456604004e-01 8.486198785819643042e-01
1.390000100000000000e+07 3.890310823917388916e-01 8.454699116045382157e-01
1.395000100000000000e+07 3.945425450801848810e-01 8.719915984496309225e-01
1.400000100000000000e+07 3.797024190425872803e-01 7.346979030248510512e-01
1.405000100000000000e+07 3.679594099521636963e-01 7.222955884443409413e-01
1.410000100000000000e+07 3.604464828968048096e-01 7.293660718717285274e-01
1.415000100000000000e+07 3.924037218093872070e-01 7.937659553852968175e-01
1.420000100000000000e+07 3.929925560951232910e-01 7.684646956742549051e-01
1.425000100000000000e+07 3.818845152854919989e-01 6.674933678682327676e-01
1.430000100000000000e+07 3.799257278442383368e-01 6.429374328619364976e-01
1.435000100000000000e+07 3.644930422306060791e-01 6.699494041440320347e-01
1.440000100000000000e+07 3.754844665527343750e-01 6.153278676851191564e-01
1.445000100000000000e+07 3.577914535999298096e-01 6.914538428544196869e-01
1.450000100000000000e+07 3.528857529163360596e-01 7.191004821964912530e-01
1.455000100000000000e+07 3.473730981349945068e-01 7.525385752522333327e-01
1.460000100000000000e+07 3.430203795433044434e-01 7.643996446216277940e-01
1.465000100000000000e+07 3.750593662261961780e-01 5.887813042206159198e-01
1.470000100000000000e+07 3.603691160678864081e-01 6.033598401118106525e-01
1.475000100000000000e+07 3.460083305835723877e-01 7.006742595383881334e-01
1.480000100000000000e+07 3.334362208843231201e-01 7.847279356207779166e-01
1.485000100000000000e+07 3.445889651775360107e-01 6.735951118870903143e-01
